code,name,category,source,field,detected_in_text,param_value,issue_type,severity,description
S691100,Cirkulátor SOUS-VIDE EKO,Gastro Prevádzky a Profesionáli > Varná technika > Sous-vide zariadenia,gastromarket_stalgast,Objem (l),,26 L (Gross: 5 L),GEOMETRIC_IMPOSSIBILITY,ERROR,Claimed volume 26L exceeds gross outer volume 5L (145x115x325mm)
S982223120,"Vyhrievaný nadstavec dvojpolicový | nerez AISI 445 | keramické telesá | 1 200 × 300 × 700 mm | 1,2 kW / 230 V | S982223120",Gastro Prevádzky a Profesionáli > Výdaj jedál > Ohrevné lampy a mosty,gastromarket_stalgast,Rozmery (ŠxHxV),200x300x700,1200x300x700,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 200x300x700 diverge from filter 1200x300x700
S980727110,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1100x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),500x500x250,1100x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 1100x700x850
S980727080,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  800x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),500x500x250,800x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 800x700x850
S980726100,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1000x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,1000x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1000x600x850
S980726150,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1500x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,1500x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1500x600x850
S980726130,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1300x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,1300x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1300x600x850
S980727130,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1300x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),500x500x250,1300x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 1300x700x850
S980726140,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1400x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,1400x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1400x600x850
S980726110,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1100x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,1100x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1100x600x850
S980727150,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1500x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),500x500x250,1500x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 1500x700x850
S980727120,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1200x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),500x500x250,1200x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 1200x700x850
S980727070,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  700x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),500x500x250,700x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 700x700x850
S980726080,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  800x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,800x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 800x600x850
S980726070,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  700x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,700x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 700x600x850
S980726120,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  1200x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,1200x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1200x600x850
S980726090,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  900x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,900x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 900x600x850
S980727090,Umývací stôl krytovaný s drezom a s krídlovými dvierkami  900x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),500x500x250,900x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 900x700x850
S980746100,Umývací stôl krytovaný s drezom a s posuvnými dvierkami  1000x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,1000x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1000x600x850
S980746150,Umývací stôl krytovaný s drezom a s posuvnými dvierkami  1500x600x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),400x400x250,1500x600x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 400x400x250 diverge from filter 1500x600x850
S980747080,Umývací stôl krytovaný s drezom a s posuvnými dvierkami  800x700x850mm,Gastro Prevádzky a Profesionáli > Nerezový nábytok > Umývacie stoly a drezy,gastromarket_stalgast,Rozmery (ŠxHxV),500x500x250,800x700x850,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 500x500x250 diverge from filter 800x700x850
