code,name,category,source,field,detected_in_text,param_value,issue_type,severity,description
S950118,"Kateringový stôl 183 x 76,2 x 74 cm",Gastro Prevádzky a Profesionáli > Transport a logistika > Cateringový nábytok,gastromarket_stalgast,Rozmery (ŠxHxV),915x762x45,1830x762x740,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 915x762x45 diverge from filter 1830x762x740
S786961,"Samostatne stojaci rozvaľkávač cesta, 1020x3050x1290 mm, P 0,75 kW, U 230-400/3 V | STALGAST 786961",Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Tvarovače a lisy na cesto,gastromarket_stalgast,Napätie (V),400,230,TEXT_PARAM_MISMATCH,INFO,Text mentions 400 V but filter has 230 V
S801502,"Umývačka riadu s parným dnom, univerzálna, dávkovač čistiaceho prostriedku, P 3,4/4,9 kW, U 230/400 V | STALGAST 801502",Gastro Prevádzky a Profesionáli > Umývacia technika > Umývačky riadu > Univerzálne umývačky,gastromarket_stalgast,Napätie (V),400,230,TEXT_PARAM_MISMATCH,INFO,Text mentions 400 V but filter has 230 V
S801501,Umývačka riadu profi 500x500 mm s podstavcom | 400/230 V | STALGAST 801501 | profesionálna gastro,Gastro Prevádzky a Profesionáli > Umývacia technika > Umývačky riadu > Univerzálne umývačky,gastromarket_stalgast,Napätie (V),230,400,TEXT_PARAM_MISMATCH,INFO,Text mentions 230 V but filter has 400 V
ROLLER GRILL_MF 120 R,Elektrická stolová fritéza MF 120 R,Gastro Prevádzky a Profesionáli > Stolné varné zariadenia > Fritézy,forgastro,Rozmery (ŠxHxV),280x250x110,350x470x350,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 280x250x110 diverge from filter 350x470x350
ROLLER GRILL_FD50,Elektrická stolová fritéza FD 50,Gastro Prevádzky a Profesionáli > Stolné varné zariadenia > Fritézy,forgastro,Rozmery (ŠxHxV),140x260x100,215x425x320,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 140x260x100 diverge from filter 215x425x320
ROLLER GRILL_DOUBLE PREMIUM,Kontaktný gril DOUBLE PREMIUM,"Gastro Prevádzky a Profesionáli > Stolné varné zariadenia > Kontaktné grily, Hriankovače a Salamandre",forgastro,Napätie (V),230,400,TEXT_PARAM_MISMATCH,INFO,Text mentions 230 V but filter has 400 V
ROC_R60,Kuter R 60,Gastro Prevádzky a Profesionáli > Príprava surovín > Univerzálne roboty a kutre,forgastro,Príkon (W),0 W,11000,TEXT_PARAM_MISMATCH,WARNING,Text mentions power 0 W but filter has 11000 W
ROC_R45,Kuter R 45,Gastro Prevádzky a Profesionáli > Príprava surovín > Univerzálne roboty a kutre,forgastro,Príkon (W),0 W,10000,TEXT_PARAM_MISMATCH,WARNING,Text mentions power 0 W but filter has 10000 W
ROC_B45,Blixér B 45,Gastro Prevádzky a Profesionáli > Príprava surovín > Univerzálne roboty a kutre,forgastro,Príkon (W),0 W,9000,TEXT_PARAM_MISMATCH,WARNING,Text mentions power 0 W but filter has 9000 W
P781402,Dvojkomorová pizzapec MINI - 2x34cm pizza - so sklom,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Pece na pizzu,gastromarket,Rozmery (ŠxHxV),410x360x90,615x500x430,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 410x360x90 diverge from filter 615x500x430
P774140,Elektricky gyros POTIS E3,Gastro Prevádzky a Profesionáli > Varná technika > Grily > Grily na gyros a kebab,gastromarket,Napätie (V),230,400,TEXT_PARAM_MISMATCH,INFO,Text mentions 230 V but filter has 400 V
P774130,Elektricky gyros POTIS E2,Gastro Prevádzky a Profesionáli > Varná technika > Grily > Grily na gyros a kebab,gastromarket,Napätie (V),230,400,TEXT_PARAM_MISMATCH,INFO,Text mentions 230 V but filter has 400 V
P774120,Elektricky gyros POTIS E1,Gastro Prevádzky a Profesionáli > Varná technika > Grily > Grily na gyros a kebab,gastromarket,Napätie (V),230,400,TEXT_PARAM_MISMATCH,INFO,Text mentions 230 V but filter has 400 V
F852412,Ohrevná vitrína samoobslužná - 800x350x250 mm,Gastro Prevádzky a Profesionáli > Vitríny > Ohrevné vitríny,gastromarket,Rozmery (ŠxHxV),800x350x250,850x350x250,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 800x350x250 diverge from filter 850x350x250
F787025,Výrobník cestovín FIMAR PF25E,Gastro Prevádzky a Profesionáli > Pizza a cestoviny > Stroje na cestoviny,gastromarket,Rozmery (ŠxHxV),300x550x452,300x550x540,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 300x550x452 diverge from filter 300x550x540
F725001,Strúhač na tvrdý syr alebo strúhanku Fimar,Gastro Prevádzky a Profesionáli > Príprava surovín > Strúhače a krájače na syr,gastromarket,Rozmery (ŠxHxV),290x250x310,290x250x420,TEXT_PARAM_MISMATCH,WARNING,Text dimensions 290x250x310 diverge from filter 290x250x420
BE7P4M/IND,Indukcny sporák 4 zony - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),3500 W,14000,TEXT_PARAM_MISMATCH,WARNING,Text mentions power 3500 W but filter has 14000 W
BE7P4/FE,4 - E-sporák s E-rúrou rada 700 - BERTO´S,Gastro Prevádzky a Profesionáli > Varná technika > Varné linky a sporáky,gastromarket,Príkon (W),2600 W,17900,TEXT_PARAM_MISMATCH,WARNING,Text mentions power 2600 W but filter has 17900 W
