name,category
Krájač zeleniny CL50,Krájače zeleniny pre malé a stredné prevádzky
Krájač zeleniny CL20,Krájače zeleniny pre malé a stredné prevádzky
Krájač zeleniny CL30 Bistro,Krájače zeleniny pre malé a stredné prevádzky
Krájač zeleniny CL40,Krájače zeleniny pre malé a stredné prevádzky
Krájač zeleniny CL52,Krájače zeleniny pre stredné a veľké prevádzky
Krájač zeleniny CL55 PP 230V,Krájače zeleniny pre stredné a veľké prevádzky
Krájač zeleniny CL60 PP,Krájače zeleniny pre stredné a veľké prevádzky
Krájač zeleniny CL55 AH 230V,Krájače zeleniny pre stredné a veľké prevádzky
Krájač zeleniny CL60 AH,Krájače zeleniny pre stredné a veľké prevádzky
Kombinovaný robot R301,Kombinované roboty
Kombinovaný robot R301 Ultra,Kombinované roboty
Kombinovaný robot R401,Kombinované roboty
Kombinovaný robot R402 - 400,Kombinované roboty
Kombinovaný robot R402 VV,Kombinované roboty
Kombinovaný robot R502,Kombinované roboty
Kombinovaný robot R502 VV,Kombinované roboty
Kombinovaný robot R752,Kombinované roboty
Kombinovaný robot R752 VV,Kombinované roboty
Blixér 2,Blixéry
Blixér 3,Blixéry
Blixér 4,Blixéry
Blixér 4 V.V.,Blixéry
Blixér 5,Blixéry
Blixér 5 V.V.,Blixéry
Blixér 8,Blixéry
Blixér 10,Blixéry
Blixér 15,Blixéry
Blixér 20,Blixéry
Kuter R 2 B,Stolové modely
Kuter R 2,Stolové modely
Kuter R 3 - 1500,Stolové modely
Kuter R 3 - 3000,Stolové modely
Kuter R 4 - 1500,Stolové modely
Kuter R 4,Stolové modely
Kuter R 4 V.V.,Stolové modely
Kuter R 5 - 1500,Stolové modely
Kuter R 5,Stolové modely
Kuter R 5 V.V.,Stolové modely
Kuter R 7,Stolové modely
Kuter R 7 V.V.,Stolové modely
Kuter R 8,Stolové modely
Kuter R 10,Stolové modely
Kuter R 10 V.V.,Stolové modely
Kuter R 15,Veľkokapacitné kutre
Kuter R 20,Veľkokapacitné kutre
Kuter R 23,Veľkokapacitné kutre
Kuter R 30,Veľkokapacitné kutre
Kuter R 45,Veľkokapacitné kutre
Kuter R 60,Veľkokapacitné kutre
Pasírovač C80,Pasírovače
Pasírovač C120,Pasírovače
Pasírovač C200,Pasírovače
Odšťavovač C40,Odšťavovače
Odšťavovač J80,Odšťavovače
Odšťavovač J100,Odšťavovače
Ohrievač čokolády CHOCOLADY 5,Ohrievače čokolády
Výrobník ľadovej drte (GRANITOR) GRANISMART 1,Granitory
Výrobník ľadovej drte (GRANITOR) GRANISMART 2,Granitory
Výrovník zmrzlinového krému GRANISMART EVO1,Výrobníky zmrzlinového krému
Výrovník zmrzlinového krému GRANISMART EVO2,Výrobníky zmrzlinového krému
Ohrievač čokolády CHOCOLADY 10,Ohrievače čokolády
Výrobník ľadovej drte (GRANITOR) EASY SLUSH 1,Granitory
Výrobník ľadovej drte (GRANITOR) EASY SLUSH 2,Granitory
Výrobník ľadovej drte (GRANITOR) EASY SLUSH 3,Granitory
Krájač zeleniny CL52 - 400 V,Krájače zeleniny pre stredné a veľké prevádzky
Krájač zeleniny CL55 PP 400V,Krájače zeleniny pre stredné a veľké prevádzky
Krájač zeleniny CL55 AH 400V,Krájače zeleniny pre stredné a veľké prevádzky
Krájač zeleniny CL60 WS s kompletným príslušenstvom,Krájače zeleniny pre stredné a veľké prevádzky
Plátkovač 1 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Plátkovač 2 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Plátkovač 3 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Plátkovač 4 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Plátkovač 5 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Plátkovač 6 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Vlnkovač 2 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
"Strúhač 1,5 mm","Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Strúhač 2 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Strúhač 3 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Strúhač 6 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Strúhač 9 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Strúhač na parmezán,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Strúhač na zemiaky,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
"Strúhač na chren 0,7 mm","Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Strúhač na chren 1 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
"Strúhač na chren 1,3 mm","Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Krájač rezancov 2x2 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Krájač rezancov 2x4 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Krájač rezancov 2x6 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Krájač rezancov 4x4 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Krájač rezancov 6x6 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Krájač rezancov 8x8 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
Krájač kociek 8x8x8 mm,"Disky pre modely CL 20, CL 30 Bistro, CL 40, R 301, R 401, R 402"
