name,category
LA IDEAL - Plytká panvica z leštenej uhlíkovej ocele s rukoväťou - Ø Cm 36,Kuchynský riad | Panvice | Panvice oceľové
LA IDEAL - Plytká panvica zo smaltovanej uhlíkovej ocele s rukoväťou - Ø Cm 20,Kuchynský riad | Panvice | Panvice oceľové smaltované
LA IDEAL - Plytká panvica zo smaltovanej uhlíkovej ocele s rukoväťou - Ø Cm 24,Kuchynský riad | Panvice | Panvice oceľové smaltované
LA IDEAL - Plytká panvica zo smaltovanej uhlíkovej ocele s rukoväťou - Ø Cm 28,Kuchynský riad | Panvice | Panvice oceľové smaltované
LA IDEAL - Plytká panvica zo smaltovanej uhlíkovej ocele s rukoväťou - Ø Cm 32,Kuchynský riad | Panvice | Panvice oceľové smaltované
LA IDEAL - Plytká panvica zo smaltovanej uhlíkovej ocele s rukoväťou - Ø Cm 36,Kuchynský riad | Panvice | Panvice oceľové smaltované
1/4 segmentový cedník d 30 cm pre zásobný hrniec S013324,Kuchynský riad | Hrnce a rajnice | Cedníky na varenie cestovín
1/4-segmentový cedník - Nerezová oceľ 18/10 - Ø cm 36,Kuchynský riad | Hrnce a rajnice | Cedníky na varenie cestovín
1/4-segmentový cedník - Nerezová oceľ 18/10 - Ø cm 40,Kuchynský riad | Hrnce a rajnice | Cedníky na varenie cestovín
2 - Plynový sporák  - s otvoreným podstavcom - BERTO´S,Varná technológia | BERTO´s 700 | Plynové šporáky BERTO´s
2 - Plynový sporák 19 kW - BERTO´S,Varná technológia | BERTO´s 900 | Sporáky BERTO´s 900
2-Plynový sporák bez podstavca Stalgast,Varná technológia | STALGAST 700 | Plynové šporáky
2-dverový chladiaci stôl na nápoje - 480 l,Bar a káva | Chladiace stoly na nápoje
3-dverový chladiaci stôl na nápoje - 720 l,Bar a káva | Chladiace stoly na nápoje
4 - E-sporák s E-rúrou rada 700 - BERTO´S,Varná technológia | BERTO´s 700 | Elektrické šporáky BERTO´s
4 - P-sporák s E-rúrou rada 700 - BERTO´S,Varná technológia | BERTO´s 700 | Plynové šporáky BERTO´s
4 - P-sporák s P-rúrou rada 700 - BERTO´S,Varná technológia | BERTO´s 700 | Plynové šporáky BERTO´s
4 - Plynový sporák  - s otvoreným podstavcom - BERTO´S,Varná technológia | BERTO´s 700 | Plynové šporáky BERTO´s
"4 - Plynový sporák 34,5 kW - BERTO´S",Varná technológia | BERTO´s 900 | Sporáky BERTO´s 900
4 - Plynový sporák s plynovou rúrou  - BERTO´S,Varná technológia | BERTO´s 900 | Sporáky BERTO´s 900
4 - Plynový sporák so statickou rúrou GN 2/1  - BERTO´S,Varná technológia | BERTO´s 900 | Sporáky BERTO´s 900
4-Plynový sporák bez podstavca Stalgast,Varná technológia | STALGAST 700 | Plynové šporáky
4-Plynový sporák s rúrou GN1/1,Varná technológia | STALGAST 700 | Plynové šporáky
4-Plynový sporák s rúrou GN2/1,Varná technológia | STALGAST 700 | Plynové šporáky
4-Plynový sporák s rúrou GN2/1,Varná technológia | STALGAST 700 | Plynové šporáky
4-dverový chladiaci stôl na nápoje - 960 l,Bar a káva | Chladiace stoly na nápoje
6 - E-sporák s E-rúrou rada 700 - BERTO´S,Varná technológia | BERTO´s 700 | Elektrické šporáky BERTO´s
6 - P-sporák s E-rúrou rada 700 - BERTO´S,Varná technológia | BERTO´s 700 | Plynové šporáky BERTO´s
6 - P-sporák s P-rúrou rada 700 - BERTO´S,Varná technológia | BERTO´s 700 | Plynové šporáky BERTO´s
6 - Plynový sporák  - BERTO´S,Varná technológia | BERTO´s 700 | Plynové šporáky BERTO´s
"6 - Plynový sporák 53,5 kW - BERTO´S",Varná technológia | BERTO´s 900 | Sporáky BERTO´s 900
6 - Plynový sporák a teplovzdusná rúra GN 2/1  - BERTO´S,Varná technológia | BERTO´s 900 | Sporáky BERTO´s 900
