name,category
Liebherr MRFvc 5501,Chladiaci program/Chladničky a mrazničky LIEBHERR/Chladničky pre gastronómiu a obchod s ventilátorom
sada 8 diskov k CL 50 / CL 52 / CL 55 / CL 60 / R 502 / R 752,Príprava potravín/Kotúče ku krájačom zeleniny
Blixér 7 VV,Príprava potravín/Blixéry
Blixér 5,Príprava potravín/Blixéry
Kombinovaný robot R402 - 400V,Príprava potravín/Kombinované roboty
Kombinovaný robot R301,Príprava potravín/Kombinované roboty
"Hrniec stredný STALGAST 50x32 / 62,8 l",Kuchynský riad/Hrnce a rajnice/Hrnce bez pokrievky PROFI
Univerzálny robot  B40,"Príprava potravín/Univerzálne roboty a miesiče cesta/Robot ""B"" séria"
Palacinkovač Caterina,"Stolové zariadenia/Wafle, gofry a palacinky"
"Waflovač Caterina 1,5 kW","Stolové zariadenia/Wafle, gofry a palacinky"
Grilovacia platňa plynová - MAXI,Stolové zariadenia/Plynové grilovacie platne
Grilovacia platňa plynová - MEDIUM,Stolové zariadenia/Plynové grilovacie platne
Grilovacia platňa plynová – MINI,Stolové zariadenia/Plynové grilovacie platne
Grilovacia platňa Caterina - 1/3 ryhovaná+ 2/3 hladká,Stolové zariadenia/Elektrické grilovacie platne
Kontaktný gril Caterina PANINI,Stolové zariadenia/Grily/Elektrické a kontaktné grily
Kontaktný gril Caterina Panini - Double,Stolové zariadenia/Grily/Elektrické a kontaktné grily
Stolová fritéza Berto´s 9 litrov,Stolové zariadenia/Stolové fritézy PROFI
"Stolová fritéza Caterina 3,5 l",Stolové zariadenia/Stolové fritézy Gastromarket EKO
Fritéza Caterina 5 l,Stolové zariadenia/Stolové fritézy Gastromarket EKO
Fritéza Caterina 8 l,Stolové zariadenia/Stolové fritézy Gastromarket EKO
Fritéza Caterina 2x8 l,Stolové zariadenia/Stolové fritézy Gastromarket EKO
"Fritéza Caterina 2x3,5 l",Stolové zariadenia/Stolové fritézy Gastromarket EKO
Plastové stierky – oblé (6 ks),Zmrzlina a pekáreň/Stierky a špachtle
"Stierka tuhá 7,5x15x10cm",Zmrzlina a pekáreň/Stierky a špachtle
Plastové stierky – štvoruholné (6 ks),Zmrzlina a pekáreň/Stierky a špachtle
"Stierka flexibilná 9,5x11x12cm",Zmrzlina a pekáreň/Stierky a špachtle
Plastové stierky – lichobežník (3 ks),Zmrzlina a pekáreň/Stierky a špachtle
Koncovky na napĺňanie 4ks,Zmrzlina a pekáreň/Šľahačka
Set na napĺňanie,Zmrzlina a pekáreň/Šľahačka
"Náhradné diely na sifónové fľaše na šľahačku, HENDI, Kitchen Line, Profi Line",Zmrzlina a pekáreň/Šľahačka
Fľaša na šľahačku HENDI PROFI LINE - 1 liter,Zmrzlina a pekáreň/Šľahačka
"Fľaša na šľahačku HENDI PROFI LINE - 0,5 liter",Zmrzlina a pekáreň/Šľahačka
Výrobník šľahačky PROFI,Zmrzlina a pekáreň/Šľahačka
Fritéza Caterina 2x5 l,Stolové zariadenia/Stolové fritézy Gastromarket EKO
Výrobník zmrzliny EKO,Zmrzlina a pekáreň/Zmrzlinárske príslušenstvo
