Kat. číslo;Názov tovaru;Bežná cena;Výrobca;Krátky popis;Dlhý popis;Obrázky;Hlavna kategória;Viditeľný
ICNdi 5153;Liebherr ICNdi 5153 Prime;2299.0;Liebherr;"Nofrost: ano
Úspornosť: D
Farba: Variabilná
Výška (cm): 177.00
Šírka (cm): 55.90
Hĺbka (cm): 54.60
Hmotnosť prístroja vrátane obalu (kg): 69.30
Spotreba elektrickej energie za 365 dní: 181.00
Hlučnosť (dB): 34.00
Počet chladiacich okruhov: 2
Doba skladovania pri výpadku prúdu (h): 9
Čistý objem celkom (l): 254
Čistý objem chladničky (l): 184.00
Čistý objem mrazničky (l): 70.00
Zmrazovacia kapacita za 24 h(kg): 6";"EasyFresh

Garantom maximálnej čerstvosti vo vašej domácnosti je náš priečinok EasyFresh. Nezáleží, či máte nebalené ovocie, zeleninu alebo šťavy: tu optimálne uskladníte všetko. Prostredníctvom potravín sa vďaka hermetickému uzavretiu zvýši vlhkosť vzduchu v priečinku. Takto zostanú potraviny dlho čerstvé.

NoFrost

Keď otvoríte svoj mraziaci priečinok, chcete vidieť zmrazené potraviny – ale určite žiadny ľad a námrazu. NoFrost chráni mraziaci priestor pred neželanou tvorbou námrazy, ktorá spotrebúva veľa energie a občas je drahá. NoFrost znamená: Už žiadne namáhavé a časovo náročné odmrazovanie mraziaceho priečinku, viac času na iné vec – a úspora peňazí.

DuoCooling

DuoCooling vďaka dvom úplne oddeleným chladiacim okruhom zaručuje, že medzi chladiacou a mraziacou časťou nedochádza k prúdeniu vzduchu. Potraviny nevyschnú a tiež nedochádza k prenosu pachov. A to znamená: Menej vyhadzovania, menej nakupovania, ale väčšia úspora a pohoda.

Integrovaný SmartDeviceBox

Vaša chladnička Liebherr je síce umiestnená v kuchyni – ale keď chcete, dostane sa tiež kedykoľvek na internet: Integrované zariadenie SmartDeviceBox otvára bránu ku všetkým výhodám Smart Home. Stačí ho strčiť do zásuvky, zapnúť a pripojiť k sieti prostredníctvom WLAN vašej chladničky Liebherr.

VarioTemp

Vďaka funkcii VarioTemp budete mať veľkú slobodu pri skladovaní potravín vo svojom kombinovanom chladiacom a zmrazovacom spotrebiči. Teplotu v mrazničke môžete veľmi presne nastaviť v rozsahu od -2 °C do +14 °C – túto oblasť potom môžete použiť aj ako ďalšiu chladiacu zónu. Napríklad na prechodné skladovanie nápojov a pochutím počas párty – alebo natrvalo, napríklad ako pivničný priečinok na skladovanie zemiakov.

LightTower

Tešte sa z optimálneho dimenzovaného vnútorného priestoru: Svetelné stĺpiky LightTower ukazujú potraviny v najlepšom svetle a sú umiestnené tak, že naplnená chladnička je vždy osvetlená na veľkej ploche. Vzhľadom na to, že stĺpiky LightTower sú integrované do povrchu bočných stien, navyše zostane dostatok miesta na potraviny.";;;1
IRBd 4551;Liebherr IRBd 4551 Prime;2149.0;Liebherr;"Biofresh: ano
Úspornosť: D
Farba: Variabilná
Výška (cm): 139.70
Šírka (cm): 56.00
Hĺbka (cm): 55.00
Hmotnosť prístroja vrátane obalu (kg): 74.10
Spotreba elektrickej energie za 365 dní: 145.30
Hlučnosť (dB): 35.00
Počet chladiacich okruhov: 1
Systém chladenia: dynamický
Doba skladovania pri výpadku prúdu (h): 9
Čistý objem celkom (l): 207
Čistý objem chladničky (l): 192.00
Čistý objem mrazničky (l): 15.00
Zmrazovacia kapacita za 24 h(kg): 2";"Priečinok na ovocie a zeleninu

Chrumkavý šalát alebo jahody: Najcitlivejšie potraviny si zaslúžia špeciálne miesto, aby zostali dlhšie čerstvé: priečinky BioFresh. V „BioFresh s priečinkom na ovocie a zeleninu“ panuje teplota blízko 0 °C. V kombinácii s vlhkosťou vzduchu, ktorá v ňom nepretržite panuje vďaka hermetickému uzavretiu, sa nebalené ovocie a zelenina cítia obzvlášť dobre. Nemusíte nič nastavovať.

DrySafe

Chcete, aby jemný teľací steak alebo čerstvé mlieko zostali čo najdlhšie čerstvé? Priečinky BioFresh sa o to postarajú: V „DrySafe“ panuje teplota blízko 0 °C – ideálne skladovacie podmienky aj pre najcitlivejšie potraviny. A to najlepšie: Všetko je z výroby dokonale nastavené na okamžité použitie – pre dlhšiu čerstvosť.

Možnosť dovybavenia so SmartDeviceBox

Chcete byť vybavení pre budúcnosť Smart Home? Vaša chladnička Liebherr vám rada pomôže: Môže ju dovybaviť so SmartDeviceBox, ktorý dostane vašu chladničku Liebherr na internet. SmartDeviceBox namontujete v niekoľkých krokoch a už dnes vám otvorí dvere do celého sveta digitálnych možností.

LightTower

Tešte sa z optimálneho dimenzovaného vnútorného priestoru: Svetelné stĺpiky LightTower ukazujú potraviny v najlepšom svetle a sú umiestnené tak, že naplnená chladnička je vždy osvetlená na veľkej ploche. Vzhľadom na to, že stĺpiky LightTower sú integrované do povrchu bočných stien, navyše zostane dostatok miesta na potraviny.

Displej Touch & Swipe

Vaša chladnička Liebherr Vás počúvne na dotyk prsta: Vďaka displeju Touch & Swipe je ovládanie vašej chladničky intuitívne a zvládlo by ho aj dieťa. Ťuknutím a potiahnutím na farebnom displeji jednoducho navolíte funkcie ako „SuperCool“. S rovnakou ľahkosťou nastavíte aj teplotu. A keď displej aktívne nepoužívate? Potom displej zobrazuje skutočnú teplotu.

Miesto pre plech na pečenie

Chcete, aby váš upečený ovocný koláč zostal čerstvý? Alebo pripravená pizza, ktorú vložíte do rúry na pečenie až neskôr? Tak zasuňte plech na pečenie jednoducho do vašej chladničky Liebherr – ponúka dostatok priestoru na uskladnenie plechu na pečenie. Obzvlášť praktické: Plech na pečenie môžete zasunúť a vytiahnuť pri otvorení dvier na 90°.";;;1
IRBd 4151;Liebherr IRBd 4151 Prime;1799.0;Liebherr;"Biofresh: ano
Úspornosť: D
Farba: Variabilná
Výška (cm): 122.00
Šírka (cm): 56.00
Hĺbka (cm): 55.00
Hmotnosť prístroja vrátane obalu (kg): 74.10
Spotreba elektrickej energie za 365 dní: 147.50
Hlučnosť (dB): 34.00
Počet chladiacich okruhov: 1
Systém chladenia: dynamický
Doba skladovania pri výpadku prúdu (h): 9
Čistý objem celkom (l): 174
Čistý objem chladničky (l): 159.00
Čistý objem mrazničky (l): 15.00
Zmrazovacia kapacita za 24 h(kg): 2";"Priečinok na ovocie a zeleninu

Chrumkavý šalát alebo jahody: Najcitlivejšie potraviny si zaslúžia špeciálne miesto, aby zostali dlhšie čerstvé: priečinky BioFresh. V „BioFresh s priečinkom na ovocie a zeleninu“ panuje teplota blízko 0 °C. V kombinácii s vlhkosťou vzduchu, ktorá v ňom nepretržite panuje vďaka hermetickému uzavretiu, sa nebalené ovocie a zelenina cítia obzvlášť dobre. Nemusíte nič nastavovať.

DrySafe

Chcete, aby jemný teľací steak alebo čerstvé mlieko zostali čo najdlhšie čerstvé? Priečinky BioFresh sa o to postarajú: V „DrySafe“ panuje teplota blízko 0 °C – ideálne skladovacie podmienky aj pre najcitlivejšie potraviny. A to najlepšie: Všetko je z výroby dokonale nastavené na okamžité použitie – pre dlhšiu čerstvosť.

Možnosť dovybavenia so SmartDeviceBox

Chcete byť vybavení pre budúcnosť Smart Home? Vaša chladnička Liebherr vám rada pomôže: Môže ju dovybaviť so SmartDeviceBox, ktorý dostane vašu chladničku Liebherr na internet. SmartDeviceBox namontujete v niekoľkých krokoch a už dnes vám otvorí dvere do celého sveta digitálnych možností.

LightTower

Tešte sa z optimálneho dimenzovaného vnútorného priestoru: Svetelné stĺpiky LightTower ukazujú potraviny v najlepšom svetle a sú umiestnené tak, že naplnená chladnička je vždy osvetlená na veľkej ploche. Vzhľadom na to, že stĺpiky LightTower sú integrované do povrchu bočných stien, navyše zostane dostatok miesta na potraviny.

Displej Touch & Swipe

Vaša chladnička Liebherr Vás počúvne na dotyk prsta: Vďaka displeju Touch & Swipe je ovládanie vašej chladničky intuitívne a zvládlo by ho aj dieťa. Ťuknutím a potiahnutím na farebnom displeji jednoducho navolíte funkcie ako „SuperCool“. S rovnakou ľahkosťou nastavíte aj teplotu. A keď displej aktívne nepoužívate? Potom displej zobrazuje skutočnú teplotu.

Miesto pre plech na pečenie

Chcete, aby váš upečený ovocný koláč zostal čerstvý? Alebo pripravená pizza, ktorú vložíte do rúry na pečenie až neskôr? Tak zasuňte plech na pečenie jednoducho do vašej chladničky Liebherr – ponúka dostatok priestoru na uskladnenie plechu na pečenie. Obzvlášť praktické: Plech na pečenie môžete zasunúť a vytiahnuť pri otvorení dvier na 90°.";;;1
MRFvd 5511;Liebherr MRFvd 5511;1843.77;Liebherr;"Úspornosť: C
Spotreba elektrickej energie za 365 dní: 535.03
Hlučnosť (dB): 50.00
Systém chladenia: dynamický
Čistý objem celkom (l): 432
Čistý objem chladničky (l): 432.00";"Ekologické chladiace médium

Šetrnejšie k prírode môžete byť vďaka pultovým mrazákům s chladiacim médiami R600 a R290, ktorá svojimi ekologickými vlastnosťami takmer nahradila média R134a a R404a. Vďaka chladiacim médiám R600 a R290 u Liebherr spotrebičov je znížená ekologická stopa s ohľadom na CO2, majú minimálny skleníkový efekt a nulový potenciál pre ničenie ozónu.

Chladenie cirkulujúcim vzduchom

Chladenie čerstvo uložených produktov zaistí vysoko výkonné vetráky, ktoré zároveň zachovávajú rovnomernú chladiacu teplotu vo vnútri chladničky.

Digitálny teplotný displej

Presnú teplotu vnútorného priestoru vašej Liebherr chladničky zachytí digitálny displej umiestnený na vonkajšej strane spotrebiča.

Reverzné závesy dverí (ľavý/pravý)

Chladničky Liebherr sú pôvodne vyrobené so závesmi na pravej strane. S rezervnými závesy môžete pozmeniť ich stranu a prispôsobiť tak umiestnenie podľa vašich potrieb.

Účinný systém chladenia

V odbore chladiacich technológií sa Liebherr odborne pohybuje už niekoľko desiatok rokov a garantuje vysokú kvalitu svojich chladiacich systémov. Liebherr sa zameriava na najvyššiu kvalitu kompresorov, výparníkov, kondenzátorov a ďalších komponentov chladiacich prístrojov. Systém chladenia je navyše veľmi úsporný.";;;1
FNb 5056;Liebherr FNb 5056 Prime;1699.0;Liebherr;"BluPerformance: ano
Nofrost: ano
Úspornosť: B
Farba: Biela
Výška (cm): 165.50
Šírka (cm): 59.70
Hĺbka (cm): 65.50
Hmotnosť prístroja vrátane obalu (kg): 72.60
Spotreba elektrickej energie za 365 dní: 120.00
Hlučnosť (dB): 31.00
Počet chladiacich okruhov: 1
Doba skladovania pri výpadku prúdu (h): 16
Čistý objem celkom (l): 238
Čistý objem mrazničky (l): 238.00
Zmrazovacia kapacita za 24 h(kg): 17";"NoFrost

Funkcia NoFrost od Liebherru je nielen praktická, ale v konečnom dôsledku vedie aj k značným úsporám energie (väčšia ekologickosť/úspornosť prístroja).
Samotný priestor mrazničky je chladený prúdiacim vzduchom, ktorý je zbavovaný vlhkosti a tá je následne odvádzaná von. Navyše celý priestor je v pravidelných cykloch odmrazovaný teplým vzduchom. Vďaka týmto opatreniam nie je vôbec potrebné samotnú mrazničku odmrazovať. Námraza sa však netvorí ani na samotných uskladnených potravinách, čo v konečnom dôsledku vedie k úspore energie. Je totiž dokázané, že vinou neodstránenej námrazy predpísaným odmrazovaním u mrazničiek bez funkcie NoFrost dochádza k zvýšeniu spotreby týchto prístrojov v priemere o 20 %.
 
Celý systém NoFrost (No Frost) je samozrejme ovládaný sofistikovanou elektronikou, tak aby celý proces chladenia prebiehal čo najúčinnejšie a najšetrnejšie.
 
Vďaka dynamickému chladeniu dochádza tiež k rýchlejšiemu zmrazeniu vložených potravín a tým k eliminácii baktérií, predĺženiu trvanlivosti aj zlepšeniu chuti.
 
Naša ponuka mrazničiek s NoFrost:
Kombinované chladničky s mrazničkou s NoFrost
Americké chladničky s NoFrost
Šuplíkové (skriňové) mrazničky NoFrost

SmartDeviceBox ako dovybavenie

Dovybaviť sa zariadením SmartDeviceBox vám umožní prepojiť váš Liebherr s internetom. SmartDeviceBox stačí jednoducho nainštalovať do vášho chytrého zariadenia a hneď je vám otvorený celý svet digitálnych možností.
Liebherr SmartDeviceBox pre voľne stojace modely 
Liebherr SmartDeviceBox pre vstavané modely

FrostProtect

Nová technológia FrostProtect je inštalovaná do vybraných mrazničiek LIEBHERR. Vďaka aplikácii tejto inovatívnej technológie je možné mrazničky inštalovať i v nevykurovaných priestoroch, napríklad v garáži. Spodná hranica teploty okolitého priestoru je teraz už  od -15  °C a horná hranica teploty je vymedzená stupňom klimatickej triedy, ktorou je spotrebič certifikovaný.

SuperSilent

Dokonalé zladenie a vyladenie všetkých chladiacich komponentov ako ventily, ventilátory, kompresory a výparníky zaručujú úplné ticho a nerušený pokoj vo vašej kuchyni.

SuperFrost

Funkcia SuperFrost vám umožní rýchle zamrazenie čerstvo uložených potravín vďaka rýchlemu odnímanie tepla z vnútorného priestoru chladničky. Potraviny si tak zachovávajú všetky výživové hodnoty. Návrat z teploty -32 ° C k pôvodne nastavenej teplote v mrazničke je regulovaný na základe množstva alebo času. To zaistí šetrnú energetickú úsporu.

Alarm pri výpadku prúdu

Koniec roztečenej zmrzline vo vašom mrazničke v dôsledku náhleho výpadku prúdu. Šikovný alarm, zabudovaný v spotrebičoch Liebherr, vám dá nielen akusticky, ale aj vizuálne na zabudovanom displeji vedieť, že je vaša zmrzlina v ohrození. Nebude vás však desiť zbytočne! Pokiaľ bude výpadok krátky a teplota sa v mraziacom oddiele razantne nezvýši, alarm zostane vypnutý.";;;1
IGS 1624;Liebherr IGS 1624;949.0;Liebherr;"SmartFrost: ano
Úspornosť: F
Farba: Variabilná
Výška (cm): 87.40
Šírka (cm): 56.00
Hĺbka (cm): 55.00
Hmotnosť prístroja vrátane obalu (kg): 37.80
Spotreba elektrickej energie za 365 dní: 223.06
Hlučnosť (dB): 36.00
Systém chladenia: statický
Doba skladovania pri výpadku prúdu (h): 10
Čistý objem celkom (l): 100
Zmrazovacia kapacita za 24 h(kg): 5";"Miska na ľadové kocky

Veľká miska na ľadové kocky s vekom sa dá vďaka pohodlnému plniacemu otvoru ľahko naplniť s vodou. Absolútne tesné veko umožňuje bezpečné a suché prenášanie a položenie misky.

FrostSafe

Pri FrostSafe sa vysoké a vyberateľné zásuvky uzatvoria po obvode. Po otvorení zariadenia tak z nich neunikne tak rýchlo chlad. Priesvitné čelá priečinkov zaručujú optimálny prehľad o vašich zmrazených zásobách.

Výškovo nastavovacie pätky

S výškovo nastavovacími pätkami vpredu môžete zariadenia Liebherr optimálne vyrovnať. Zaručí to funkčnosť a vzhľad zariadenia.

Montáž vlečných dverí

Dvere nábytku sú upevnené priamo na vysokej skrinke a s dverami zariadenia sa spoja cez klzné koľajnice. Dvere nábytku sa pri otváraní a zatváraní kĺžu po koľajniciach.

SmartFrost

So SmartFrost výrazne znížite tvorbu námrazy v interiéri a na zmrazených potravinách. Odmrazovanie je preto potrebné len zriedka. Steny interiéru sú hladké, vďaka čomu sa ľahko čistia. Zapenený ovinutý odparovač zaručuje vysokú energetickú efektivitu a rovnomerné chladenie.

Automatika SuperFrost

Automatika SuperFrost robí zo zmrazovania jednoduché a úsporné potešenie. Prevezme rýchly pokles teploty na -32 °C a tak zabezpečí rezervu chladu pre zamrazenie so zachovaním vitamínov. Ihneď po skončení procesu zmrazovania sa automatika SuperFrost prepne po maximálne 65 hodinách späť do normálne prevádzky a prispieva tak k úspore prúdu.";;;1
SIFNe 5108;Liebherr SIFNe 5108 Pure;1699.0;Liebherr;"Nofrost: ano
Úspornosť: E
Farba: Variabilná
Výška (cm): 177.00
Šírka (cm): 55.90
Hĺbka (cm): 54.60
Hmotnosť prístroja vrátane obalu (kg): 61.60
Spotreba elektrickej energie za 365 dní: 237.00
Hlučnosť (dB): 33.00
Počet chladiacich okruhov: 1
Doba skladovania pri výpadku prúdu (h): 9
Čistý objem celkom (l): 213
Čistý objem mrazničky (l): 213.00
Zmrazovacia kapacita za 24 h(kg): 12";"NoFrost

Funkcia NoFrost od Liebherru je nielen praktická, ale v konečnom dôsledku vedie aj k značným úsporám energie (väčšia ekologickosť/úspornosť prístroja).
Samotný priestor mrazničky je chladený prúdiacim vzduchom, ktorý je zbavovaný vlhkosti a tá je následne odvádzaná von. Navyše celý priestor je v pravidelných cykloch odmrazovaný teplým vzduchom. Vďaka týmto opatreniam nie je vôbec potrebné samotnú mrazničku odmrazovať. Námraza sa však netvorí ani na samotných uskladnených potravinách, čo v konečnom dôsledku vedie k úspore energie. Je totiž dokázané, že vinou neodstránenej námrazy predpísaným odmrazovaním u mrazničiek bez funkcie NoFrost dochádza k zvýšeniu spotreby týchto prístrojov v priemere o 20 %.
 
Celý systém NoFrost (No Frost) je samozrejme ovládaný sofistikovanou elektronikou, tak aby celý proces chladenia prebiehal čo najúčinnejšie a najšetrnejšie.
 
Vďaka dynamickému chladeniu dochádza tiež k rýchlejšiemu zmrazeniu vložených potravín a tým k eliminácii baktérií, predĺženiu trvanlivosti aj zlepšeniu chuti.
 
Naša ponuka mrazničiek s NoFrost:
Kombinované chladničky s mrazničkou s NoFrost
Americké chladničky s NoFrost
Šuplíkové (skriňové) mrazničky NoFrost

SmartDeviceBox ako dovybavenie

Dovybaviť sa zariadením SmartDeviceBox vám umožní prepojiť váš Liebherr s internetom. SmartDeviceBox stačí jednoducho nainštalovať do vášho chytrého zariadenia a hneď je vám otvorený celý svet digitálnych možností.
Liebherr SmartDeviceBox pre voľne stojace modely 
Liebherr SmartDeviceBox pre vstavané modely

SuperSilent

Dokonalé zladenie a vyladenie všetkých chladiacich komponentov ako ventily, ventilátory, kompresory a výparníky zaručujú úplné ticho a nerušený pokoj vo vašej kuchyni.

SuperFrost

Funkcia SuperFrost vám umožní rýchle zamrazenie čerstvo uložených potravín vďaka rýchlemu odnímanie tepla z vnútorného priestoru chladničky. Potraviny si tak zachovávajú všetky výživové hodnoty. Návrat z teploty -32 ° C k pôvodne nastavenej teplote v mrazničke je regulovaný na základe množstva alebo času. To zaistí šetrnú energetickú úsporu.

Dverový alarm

K spusteniu upozornenie otvorených dverí v podobe akustického alarmu dochádza 60 sekúnd od otvorenia dverí. Dverový alarm tak zaistí ochranu pred nežiadúcimi teplotami, ktoré by mohli narušiť kvalitu uskladňovanie potravín.

Koncepcia Side-by-Side

Skladovanie vedľa seba alebo nad sebou: svoje spotrebiče Liebherr si môžete usporadúvať modulárne podľa želania. Nakombinujte si svoje vlastné centrum sviežosti prostredníctvom kombinácie chladničky, mrazničky, chladničky na víno alebo plnohodnotnej chladničky s technológiou BioFresh. Typická kvalita Liebherr: speciálna technológia v strope a v bočných stenách zabraňuje kondenzácii medzi spotrebičmi – vďaka tomu bude nábytok celkom spoľahlivo chránený.";;;1
BGPv 8470;Liebherr BGPv 8470;6958.8;Liebherr;"Nofrost: ano
Úspornosť: C
Farba: Nerez
Výška (cm): 212.00
Šírka (cm): 79.00
Hĺbka (cm): 98.00
Hmotnosť prístroja vrátane obalu (kg): 174.00
Spotreba elektrickej energie za 365 dní: 1997.00
Čistý objem celkom (l): 677
Čistý objem mrazničky (l): 677.00";"NoFrost

Funkcia NoFrost od Liebherru je nielen praktická, ale v konečnom dôsledku vedie aj k značným úsporám energie (väčšia ekologickosť/úspornosť prístroja).
Samotný priestor mrazničky je chladený prúdiacim vzduchom, ktorý je zbavovaný vlhkosti a tá je následne odvádzaná von. Navyše celý priestor je v pravidelných cykloch odmrazovaný teplým vzduchom. Vďaka týmto opatreniam nie je vôbec potrebné samotnú mrazničku odmrazovať. Námraza sa však netvorí ani na samotných uskladnených potravinách, čo v konečnom dôsledku vedie k úspore energie. Je totiž dokázané, že vinou neodstránenej námrazy predpísaným odmrazovaním u mrazničiek bez funkcie NoFrost dochádza k zvýšeniu spotreby týchto prístrojov v priemere o 20 %.
 
Celý systém NoFrost (No Frost) je samozrejme ovládaný sofistikovanou elektronikou, tak aby celý proces chladenia prebiehal čo najúčinnejšie a najšetrnejšie.
 
Vďaka dynamickému chladeniu dochádza tiež k rýchlejšiemu zmrazeniu vložených potravín a tým k eliminácii baktérií, predĺženiu trvanlivosti aj zlepšeniu chuti.
 
Naša ponuka mrazničiek s NoFrost:
Kombinované chladničky s mrazničkou s NoFrost
Americké chladničky s NoFrost
Šuplíkové (skriňové) mrazničky NoFrost

Teplotný alarm

Teplotné výkyvy sú okamžite zaznamenané akustickým aj vizuálnym poplachom, napriklad po výpadku elektrického prúdu či pri otvorených dverách.

Ekologické chladiace médium

Šetrnejšie k prírode môžete byť vďaka pultovým mrazákům s chladiacim médiami R600 a R290, ktorá svojimi ekologickými vlastnosťami takmer nahradila média R134a a R404a. Vďaka chladiacim médiám R600 a R290 u Liebherr spotrebičov je znížená ekologická stopa s ohľadom na CO2, majú minimálny skleníkový efekt a nulový potenciál pre ničenie ozónu.

Chladenie cirkulujúcim vzduchom

Chladenie čerstvo uložených produktov zaistí vysoko výkonné vetráky, ktoré zároveň zachovávajú rovnomernú chladiacu teplotu vo vnútri chladničky.

Nohy s nastaviteľnou výškou

Výškovo nastaviteľné nohy vám pomôžu získať dostatočný priestor od zeme, vďaka tomu zvládnete pohodlne vyčistiť plochu pod spotrebičom. Môžete tak ľahko udržiavať vašu podlahu dokonale čistú.

Reverzné závesy dverí (ľavý/pravý)

Chladničky Liebherr sú pôvodne vyrobené so závesmi na pravej strane. S rezervnými závesy môžete pozmeniť ich stranu a prispôsobiť tak umiestnenie podľa vašich potrieb.";;;1
MRFvd 5501;Liebherr MRFvd 5501;1523.97;Liebherr;"Úspornosť: B
Spotreba elektrickej energie za 365 dní: 388.39
Hlučnosť (dB): 50.00
Systém chladenia: dynamický
Čistý objem celkom (l): 432
Čistý objem chladničky (l): 432.00";"Ekologické chladiace médium

Šetrnejšie k prírode môžete byť vďaka pultovým mrazákům s chladiacim médiami R600 a R290, ktorá svojimi ekologickými vlastnosťami takmer nahradila média R134a a R404a. Vďaka chladiacim médiám R600 a R290 u Liebherr spotrebičov je znížená ekologická stopa s ohľadom na CO2, majú minimálny skleníkový efekt a nulový potenciál pre ničenie ozónu.

Chladenie cirkulujúcim vzduchom

Chladenie čerstvo uložených produktov zaistí vysoko výkonné vetráky, ktoré zároveň zachovávajú rovnomernú chladiacu teplotu vo vnútri chladničky.

Digitálny teplotný displej

Presnú teplotu vnútorného priestoru vašej Liebherr chladničky zachytí digitálny displej umiestnený na vonkajšej strane spotrebiča.

Reverzné závesy dverí (ľavý/pravý)

Chladničky Liebherr sú pôvodne vyrobené so závesmi na pravej strane. S rezervnými závesy môžete pozmeniť ich stranu a prispôsobiť tak umiestnenie podľa vašich potrieb.

Účinný systém chladenia

V odbore chladiacich technológií sa Liebherr odborne pohybuje už niekoľko desiatok rokov a garantuje vysokú kvalitu svojich chladiacich systémov. Liebherr sa zameriava na najvyššiu kvalitu kompresorov, výparníkov, kondenzátorov a ďalších komponentov chladiacich prístrojov. Systém chladenia je navyše veľmi úsporný.";;;1
SUIB 1550;Liebherr SUIB 1550 Premium;1579.0;Liebherr;"Biofresh: ano
Úspornosť: A
Farba: Variabilná
Výška (cm): 82.00
Šírka (cm): 59.70
Hĺbka (cm): 55.00
Hmotnosť prístroja vrátane obalu (kg): 38.60
Spotreba elektrickej energie za 365 dní: 63.00
Hlučnosť (dB): 35.00
Počet chladiacich okruhov: 1
Čistý objem celkom (l): 80
Čistý objem chladničky (l): 80.00";"BioFresh

Pri teplote tesne nad 0 °C a ideálnej vlhkosti vzduchu si ovocie a zelenina, mäso, ryby a mliečne výrobky zachovajú svoje zdravé vitamíny, jemnú arómu a zdravý vzhľad o značne dlhší čas než v bežnej chladiacej časti.

Dverový poplach

Pre bezpečnú ochranu potravín varuje zvukový dverový poplach, keď sú dvere otvorené 60 sekúnd.

Vymeniteľný doraz dverí

Zariadenia sú v závode vybavené s pravým dorazom dverí. S možnosťou výmeny dorazu dverí sa dá zariadenie na svojom mieste vždy optimálne používať.

Montáž pevných dverí

Dvere nábytku a zariadenia sa napevno spoja tak, že dvere nábytku sa pripevnia priamo na dvere zariadenia.

VarioSockel

VarioSockel umožňuje výškové a hĺbkové nastavenie na kuchynský nábytok. Všetky štyri nastavovacie pätky sa dajú nastavovať spredu na dráhe 60 mm. Vetracia mriežka na čele kuchyne sa navyše dá variabilne upraviť s 55 mm dráhou posunu.";;;1
